Film Title,IMDB,Letterboxd,Director,Lead cast,Year of Release,Genre,Plot,Runtime
The Shawshank Redemption,9.3,4.5,Frank Darabont,Tim Robbins Morgan Freeman Bob Gunton,1994,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",142
The Godfather,9.2,4.4,Francis Ford Coppola,Marlon Brando Al Pacino James Caan,1972,Crime,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,175
The Godfather: Part II,9,4.4,Francis Ford Coppola,Al Pacino Robert De Niro Robert Duvall,1974,Crime,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",202
The Dark Knight,9,4.5,Christopher Nolan,Christian Bale Heath Ledger Aaron Eckhart,2008,Action,"When the menace known as The Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",152
12 Angry Men,9,4.4,Sidney Lumet,Henry Fonda Lee J. Cobb Martin Balsam,1957,Drama,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,96
Schindler's List,8.9,4.4,Steven Spielberg,Liam Neeson Ralph Fiennes Ben Kingsley,1993,Biography,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",195
The Lord of the Rings: The Return of the King,8.9,4.5,Peter Jackson,Elijah Wood Viggo Mortensen Ian McKellen,2003,Adventure,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,201
Pulp Fiction,8.9,4.4,Quentin Tarantino,John Travolta Uma Thurman Samuel L. Jackson,1994,Crime,"The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",154
Forrest Gump,8.8,4.3,Robert Zemeckis,Tom Hanks Robin Wright Gary Sinise,1994,Drama,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",142
The Lord of the Rings: The Fellowship of the Ring,8.8,4.4,Peter Jackson,Elijah Wood Ian McKellen Orlando Bloom,2001,Adventure,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,178
Fight Club,8.8,4.4,David Fincher,Brad Pitt Edward Norton Meat Loaf,1999,Drama,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",139
The Lord of the Rings: The Two Towers,8.7,4.4,Peter Jackson,Elijah Wood Ian McKellen Viggo Mortensen,2002,Adventure,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",179
Goodfellas,8.7,4.4,Martin Scorsese,Robert De Niro Ray Liotta Joe Pesci,1990,Biography,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",146
The Intouchables,8.5,4.2,Olivier Nakache Ã‰ric Toledano,FranÃ§ois Cluzet Omar Sy Anne Le Ny,2011,Biography,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",112
The Lion King,8.5,4.2,Roger Allers Rob Minkoff,Matthew Broderick Jeremy Irons James Earl Jones,1994,Animation,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",88
Terminator 2: Judgment Day,8.5,4.2,James Cameron,Arnold Schwarzenegger Linda Hamilton Edward Furlong,1991,Action,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",137
Back to the Future,8.5,4.3,Robert Zemeckis,Michael J. Fox Christopher Lloyd Lea Thompson,1985,Adventure,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",116
The Prestige,8.5,4.3,Christopher Nolan,Christian Bale Hugh Jackman Scarlett Johansson,2006,Drama,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",130
The Lives of Others,8.4,4.4,Florian Henckel von Donnersmarck,Ulrich MÃ¼he Martina Gedeck Sebastian Koch,2006,Drama,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",137
The Shining,8.4,4.2,Stanley Kubrick,Jack Nicholson Shelley Duvall Danny Lloyd,1980,Drama,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",146
Django Unchained,8.4,4.2,Quentin Tarantino,Jamie Foxx Christoph Waltz Leonardo DiCaprio,2012,Drama,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",165
Whiplash,8.5,4.3,Damien Chazelle,Miles Teller J.K. Simmons Melissa Benoist,2014,Drama,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,106
The Departed,8.5,4.3,Martin Scorsese,Leonardo DiCaprio Matt Damon Jack Nicholson,2006,Crime,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,151
